"Day_of_Week","Mode","Rounded_Hour","Average_Passenger_Boardings"
"Tuesday","Metro",20,3.13437812604201
"Tuesday","Metro",21,3.35403726708075
"Tuesday","Metro",22,3.47920043219881
"Tuesday","Metro",23,2.07398423286841
"Tuesday","VLine",0,1.61290322580645
"Tuesday","VLine",1,0
"Tuesday","VLine",2,0
"Tuesday","VLine",3,0
"Tuesday","VLine",4,10
"Tuesday","VLine",5,5.71428571428571
"Tuesday","VLine",6,7.60147601476015
"Tuesday","VLine",7,12.4871794871795
"Tuesday","VLine",8,11.7464114832536
"Tuesday","VLine",9,6.80904522613065
"Tuesday","VLine",10,4.26190476190476
"Tuesday","VLine",11,4.31937172774869
"Tuesday","VLine",12,3.96739130434783
"Tuesday","VLine",13,4.38040345821326
"Tuesday","VLine",14,5.01333333333333
"Tuesday","VLine",15,11.340206185567
"Tuesday","VLine",16,12.7707808564232
"Tuesday","VLine",17,12.9452054794521
"Tuesday","VLine",18,8.09421841541756
"Tuesday","VLine",19,5.3030303030303
"Tuesday","VLine",20,1.33956386292835
"Tuesday","VLine",21,2.42677824267782
"Tuesday","VLine",22,1.38728323699422
"Tuesday","VLine",23,0.333333333333333
"Wednesday","Metro",0,0.776071139854487
"Wednesday","Metro",1,0.0900900900900901
"Wednesday","Metro",2,0
"Wednesday","Metro",4,0.181818181818182
"Wednesday","Metro",5,1.22276879831342
"Wednesday","Metro",6,3.92814371257485
"Wednesday","Metro",7,7.64169639318272
"Wednesday","Metro",8,12.8711773094597
"Wednesday","Metro",9,7.45625841184388
"Wednesday","Metro",10,5.80290262172285
"Wednesday","Metro",11,5.95354172641239
"Wednesday","Metro",12,6.03708987161198
"Wednesday","Metro",13,7.21291866028708
"Wednesday","Metro",14,7.48739246514387
"Wednesday","Metro",15,11.1534216335541
"Wednesday","Metro",16,11.5428814641413
"Wednesday","Metro",17,12.133068878471
"Wednesday","Metro",18,9.25724637681159
"Wednesday","Metro",19,4.76584022038567
"Wednesday","Metro",20,3.74035558537404
"Wednesday","Metro",21,3.80053908355795
"Wednesday","Metro",22,4.97509684560044
"Wednesday","Metro",23,2.93165467625899
"Wednesday","VLine",0,1.59090909090909
"Wednesday","VLine",1,0.169491525423729
"Wednesday","VLine",2,0
"Wednesday","VLine",4,10
"Wednesday","VLine",5,5.04065040650407
"Wednesday","VLine",6,7.63250883392226
"Wednesday","VLine",7,13.6802030456853
"Wednesday","VLine",8,10.6941431670282
"Wednesday","VLine",9,6.23024830699774
"Wednesday","VLine",10,3.93782383419689
"Wednesday","VLine",11,4.61538461538461
"Wednesday","VLine",12,3.86533665835411
"Wednesday","VLine",13,5.71801566579634
"Wednesday","VLine",14,5.7981220657277
"Wednesday","VLine",15,6.98591549295775
"Wednesday","VLine",16,13.1073446327684
"Wednesday","VLine",17,13.6141906873614
"Wednesday","VLine",18,8.68686868686869
"Wednesday","VLine",19,3.44919786096257
"Wednesday","VLine",20,2.35109717868339
"Wednesday","VLine",21,3.34645669291339
"Wednesday","VLine",22,0.742574257425743
"Wednesday","VLine",23,3.26923076923077
