"Station_Name","Station_Latitude","Station_Longitude","Total_Passenger_Boardings"
"Terang",-38.23621199,142.9114722,50
"Thomastown",-37.68033809,145.0142789,11050
"Thornbury",-37.75505179,144.9985715,5680
"Toorak",-37.85077381,145.0139086,5170
"Tooronga",-37.84936553,145.0417337,5830
"Tottenham",-37.7992509,144.8629449,6460
"Trafalgar",-38.207239,146.15477,840
"Traralgon",-38.198889,146.537884,2440
"Tyabb",-38.259815,145.1864007,10
"Tynong",-38.084994,145.628231,90
"Upfield",-37.66607779,144.9467399,5990
"Upper Ferntree Gully",-37.8926717,145.3075302,2110
"Upwey",-37.90369097,145.3313334,1800
"Victoria Park",-37.79915782,144.9944514,6610
"Violet Town",-36.63881606,145.7159234,0
"Wallan",-37.416534,145.005354,1720
"Wandong",-37.354676,145.026414,300
"Wangaratta",-36.35510089,146.3170385,430
"Warragul",-38.165227,145.93309,2390
"Warrnambool",-38.38501396,142.475545,1210
"Watergardens",-37.70112872,144.7741805,18970
"Watsonia",-37.71095798,145.0837934,7610
"Wattle Glen",-37.66396792,145.1816145,370
"Waurn Ponds",-38.21581,144.30682,2480
"Wendouree",-37.539713,143.820062,1370
"Werribee",-37.89937805,144.661118,13650
"West Footscray",-37.8018087,144.8853248,6980
"West Richmond",-37.81494896,144.9914228,5810
"Westall",-37.93849121,145.1388326,11060
"Westgarth",-37.7806207,144.9992332,2440
"Westona",-37.86516348,144.8134936,3370
"Williams Landing",-37.86986533,144.7474447,14420
"Williamstown",-37.86775292,144.9053233,1400
"Williamstown Beach",-37.86398189,144.8944837,2090
"Willison",-37.83571565,145.0702976,530
"Winchelsea",-38.24013506,143.9841339,30
"Windsor",-37.85605308,144.9920352,10530
"Wodonga",-36.1058271,146.8712657,350
"Woodend",-37.358803,144.525893,1610
"Wyndham Vale",-37.871783,144.608477,12950
"Yarragon",-38.203155,146.063065,40
"Yarraman",-37.97825454,145.1916003,2790
"Yarraville",-37.81585044,144.8899337,11180
